,depth,min,max,median,mean
0,73.0,879.8,3361.49,1823.76,1845.88
1,74.0,1031.27,3470.54,1873.98,1928.28
2,75.0,1159.05,3601.69,1914.62,2010.68
3,76.0,1234.91,3732.84,1972.91,2093.08
4,77.0,1247.56,3863.99,2033.23,2175.48
5,78.0,1247.68,3995.13,2106.83,2257.89
6,79.0,1248.03,4204.73,2346.18,2473.96
7,80.0,1248.38,4414.32,2595.49,2690.04
8,81.0,1248.73,4623.91,2838.8,2906.12
9,82.0,1249.08,4833.51,3080.48,3122.19
10,83.0,1249.43,5043.1,3314.71,3338.27
11,84.0,1249.66,5081.07,3375.77,3391.44
12,85.0,1249.9,5119.05,3438.05,3444.62
13,86.0,1250.14,5157.02,3497.05,3497.79
14,87.0,1250.37,5194.99,3565.07,3550.97
15,88.0,1250.61,5232.97,3622.6,3604.14
16,89.0,1250.73,5248.0,3687.54,3662.14
17,90.0,1250.85,5263.03,3753.32,3720.13
18,91.0,1250.97,5278.07,3817.79,3778.13
19,92.0,1251.1,5293.1,3870.0,3836.12
20,93.0,1251.22,5308.14,3922.57,3894.12
21,94.0,1251.37,5417.0,3997.46,3968.55
22,95.0,1251.53,5525.87,4079.18,4042.97
23,96.0,1251.68,5634.73,4128.6,4117.4
24,97.0,1251.83,5743.6,4190.19,4191.83
25,98.0,1251.99,5852.46,4251.91,4266.26
26,99.0,1252.51,6005.72,4363.69,4361.64
27,100.0,1252.81,6158.97,4453.22,4457.02
28,101.0,1253.1,6312.22,4546.77,4552.4
29,102.0,1253.4,6465.47,4630.67,4647.78
30,103.0,1253.69,6618.72,4715.33,4743.16
31,104.0,1253.9,6649.64,4773.89,4789.59
32,105.0,1254.11,6680.55,4826.04,4836.02
33,106.0,1254.31,6711.47,4881.39,4882.44
34,107.0,1254.52,6742.38,4920.46,4928.87
35,108.0,1254.73,6773.3,4969.94,4975.3
36,109.0,1257.12,6795.29,5032.09,5045.06
37,110.0,1257.92,6817.28,5111.6,5114.82
38,111.0,1258.73,6839.27,5192.32,5184.59
39,112.0,1259.53,6861.26,5269.82,5254.35
40,113.0,1260.33,6883.25,5356.16,5324.12
41,114.0,1272.72,6900.31,5402.23,5374.04
42,115.0,1285.11,6917.36,5456.81,5423.96
43,116.0,1293.34,6934.42,5497.96,5473.88
44,117.0,1293.38,6951.48,5541.7,5523.8
45,118.0,1293.42,6968.53,5593.64,5573.72
46,119.0,1293.47,7076.38,5659.2,5634.68
47,120.0,1293.52,7184.22,5730.69,5695.64
48,121.0,1293.58,7292.07,5803.33,5756.6
49,122.0,1293.63,7399.91,5864.45,5817.56
50,123.0,1293.68,7507.75,5933.19,5878.52
51,124.0,1293.72,7563.88,5973.82,5930.24
52,125.0,1293.75,7620.01,6018.63,5981.96
53,126.0,1293.79,7676.14,6076.48,6033.68
54,127.0,1293.83,7732.27,6125.56,6085.41
55,128.0,1293.86,7788.4,6187.26,6137.13
56,129.0,1293.88,7828.04,6265.9,6205.38
57,130.0,1293.9,7867.69,6337.7,6273.63
58,131.0,1293.92,7907.34,6411.09,6341.89
59,132.0,1293.94,7946.99,6480.85,6410.14
60,133.0,1293.96,7986.63,6543.9,6478.4
61,134.0,1294.01,8019.35,6633.28,6558.58
62,135.0,1294.07,8052.07,6704.53,6638.77
63,136.0,1294.13,8084.79,6771.25,6718.96
64,137.0,1294.18,8117.51,6823.81,6799.14
65,138.0,1294.24,8150.23,6898.08,6879.33
66,139.0,1294.3,8211.2,6957.01,6935.94
67,140.0,1294.36,8272.17,7019.85,6992.55
68,141.0,1294.42,8333.14,7090.37,7049.17
69,142.0,1294.48,8394.12,7156.11,7105.78
70,143.0,1294.54,8455.09,7220.64,7162.39
71,144.0,1294.54,8493.66,7283.03,7231.89
72,145.0,1294.55,8532.24,7355.79,7301.39
73,146.0,1294.55,8570.82,7436.36,7370.89
74,147.0,1294.55,8609.39,7521.95,7440.38
75,148.0,1294.56,8647.97,7597.88,7509.88
76,149.0,1294.58,8759.1,7660.12,7595.04
77,150.0,1294.6,8870.23,7741.45,7680.2
78,151.0,1294.63,8981.37,7841.97,7765.36
79,152.0,1294.65,9092.5,7939.06,7850.52
80,153.0,1294.67,9203.63,8014.33,7935.68
81,154.0,1294.7,9212.2,8064.16,7982.15
82,155.0,1294.74,9220.78,8109.8,8028.62
83,156.0,1294.77,9229.35,8163.33,8075.1
84,157.0,1294.8,9237.92,8222.42,8121.57
85,158.0,1294.84,9246.5,8271.31,8168.04
86,159.0,1295.01,9271.36,8308.07,8204.24
87,160.0,1295.18,9296.22,8342.94,8240.44
88,161.0,1295.35,9321.07,8380.6,8276.63
89,162.0,1295.5,9345.93,8418.44,8312.83
90,163.0,1295.61,9370.79,8447.14,8349.03
91,164.0,1295.67,9384.01,8463.64,8366.81
92,165.0,1295.73,9397.24,8479.2,8384.59
93,166.0,1295.79,9410.46,8495.96,8402.38
94,167.0,1295.84,9423.68,8514.34,8420.16
95,168.0,1295.9,9436.9,8530.54,8437.94
